,date,open,high,low,close,volume,oi
1051,2022-07-18 14:16:00+05:30,685.7,685.7,685.7,685.7,0,223800
1052,2022-07-18 14:17:00+05:30,685.7,685.7,685.7,685.7,0,223800
1053,2022-07-18 14:18:00+05:30,685.7,685.7,685.7,685.7,0,223800
1054,2022-07-18 14:19:00+05:30,685.7,685.7,685.7,685.7,0,223800
1055,2022-07-18 14:20:00+05:30,685.7,685.7,685.7,685.7,0,223800
1056,2022-07-18 14:21:00+05:30,685.7,685.7,685.7,685.7,0,223800
1057,2022-07-18 14:22:00+05:30,685.7,685.7,685.7,685.7,0,223800
1058,2022-07-18 14:23:00+05:30,685.7,685.7,685.7,685.7,0,223800
1059,2022-07-18 14:24:00+05:30,685.7,690.0,685.7,690.0,50,223850
1060,2022-07-18 14:25:00+05:30,690.0,695.9,690.0,695.9,150,223850
1061,2022-07-18 14:26:00+05:30,691.25,691.25,691.25,691.25,50,223850
1062,2022-07-18 14:27:00+05:30,691.25,691.25,691.25,691.25,0,223850
1063,2022-07-18 14:28:00+05:30,691.25,691.25,691.25,691.25,0,223850
1064,2022-07-18 14:29:00+05:30,691.25,691.25,691.25,691.25,0,223850
1065,2022-07-18 14:30:00+05:30,691.25,691.25,691.25,691.25,0,223850
1066,2022-07-18 14:31:00+05:30,691.25,691.65,691.25,691.65,50,223800
1067,2022-07-18 14:32:00+05:30,691.65,692.15,691.65,692.15,50,223800
1068,2022-07-18 14:33:00+05:30,692.15,693.0,692.15,693.0,50,223850
1069,2022-07-18 14:34:00+05:30,693.0,693.0,693.0,693.0,0,223850
1070,2022-07-18 14:35:00+05:30,693.0,693.0,685.0,685.0,50,223850
1071,2022-07-18 14:36:00+05:30,685.0,685.0,685.0,685.0,0,223850
1072,2022-07-18 14:37:00+05:30,685.0,685.0,685.0,685.0,0,223850
1073,2022-07-18 14:38:00+05:30,685.0,685.0,685.0,685.0,0,223850
1074,2022-07-18 14:39:00+05:30,685.0,685.0,685.0,685.0,0,223850
1075,2022-07-18 14:40:00+05:30,685.0,685.0,682.05,682.05,50,223750
1076,2022-07-18 14:41:00+05:30,682.05,685.15,682.05,685.15,50,223750
1077,2022-07-18 14:42:00+05:30,685.15,685.15,683.45,683.45,50,223750
1078,2022-07-18 14:43:00+05:30,683.45,683.45,683.45,683.45,0,223750
1079,2022-07-18 14:44:00+05:30,683.45,683.45,683.45,683.45,0,223750
1080,2022-07-18 14:45:00+05:30,683.45,697.15,683.45,697.15,200,223700
1081,2022-07-18 14:46:00+05:30,697.15,697.15,690.2,690.2,150,223700
